name|orcid|month_of_birth|year_of_birth|mail|bio
Suzanne Liebowitz Taylor|2932-0147-7570-9192|10|1986|GXoQoIl@gmail.com|Will never buy store bought extract again.
Vanessa Evers|1618-6802-1280-5157|3|1964|QifEUmR@gmail.com|great buy!
Sylvie Cazalens|3173-9222-7240-9004|3|1950|HjjHTgM@gmail.com|Wonderful Vanilla Beans !
Khanh N. Dang|4747-8777-6665-8416|1|1967|buaOYZl@mail.polimi.it|Delicious beans!!
Brian A. Coghlan|2498-1124-8037-2722|9|1979|oHBghEB@duck.com|Vanilla Beans
Madhavan Ganesh|9243-5503-6472-0229|6|1956|OuaCUI@mail.polimi.it|What a deal!
Mohssen Abboud|5266-8856-3119-3498|7|1976|owlFsIt@gmail.com|Great product, great value
Wei Liu|7334-4700-7120-1930|11|1968|azmfBsA@gmail.com|Very Very moist beans
Thomas Hassan|2469-2940-6223-4545|6|1984|mvfxw@tiscali.it|LOTS of vanilla beans
José Luiz Fiadeiro|0280-7954-8093-6991|12|1974|xvzbIB@outlook.it|Great product
Cecilia Mascolo|4064-9590-5647-9452|12|1966|ZTNwTyU@duck.com|what is that smell??
Ansgar Scherp|1980-4538-7046-5289|2|1941|VMwVTt@mail.polimi.it|burggirl
Ioannis Kompatsiaris|3898-6528-1387-5458|4|1948|USpln@gmail.com|Great flavor
Gang Tao|5534-2841-2623-3793|5|1988|mkBPHwC@gmail.com|YUMMY!!!
Lin Liu 0001|4471-3500-1642-5497|9|1988|Bjxll@mail.polimi.it|I just like the plain ones
Joseph S. P. Fong|8640-3714-3550-3023|2|1982|LrmuwW@gmail.com|Easy for the babysitter!
Jane Grimson|4168-7513-5556-3767|11|1972|YJGwmPz@tiscali.it|awesome product
Pascal Leroy|5477-0666-7665-8755|3|1967|cAogld@mail.polimi.it|Beefeaters® Chicken Liver Freeze Dried Treats for Dogs
Zoubida Kedad|4734-6951-0846-6907|10|1962|qTGNkq@duck.com|Liver treats
Bernhard Pfeifer|0000-0003-1507-1015|7|1956|CesVT@mail.polimi.it|BEST EVER
Edward L. Wimmers|5656-2774-1484-2064|8|1976|exrcZGN@outlook.it|Best cat treat on the market!
Jesús Arturo Orozco|5119-4946-9665-1608|5|1987|Dauarlj@tiscali.it|My Cats Love These!!
Genoveva Vargas-Solar|0000-0001-9545-1821|7|1985|xYzmprn@duck.com|China??
John A. Vince|7091-3056-1252-3008|7|1942|LYHVD@tiscali.it|Best Treats; Best Price
Vladimir Antonik|8144-1651-6029-2486|12|1965|pHEEGBu@mail.polimi.it|Picky Eater
Manuel E. Acacio|4654-1006-3821-2612|12|1948|Zdmda@duck.com|My Cat Dances for these treats
Christian Emig|2218-3321-1325-1562|7|1970|oeUlyx@gmail.com|Dog absolutel loved them
Abderrahim Sekkaki|5477-8766-4676-3989|6|1986|rAkHv@outlook.it|My pugs love it!
Lingxi Peng|3157-1223-9752-5702|2|1962|TuQQxD@gmail.com|Dog's happy
Magda Komorníková|5764-9530-3195-3154|3|1985|iKrlX@mail.polimi.it|sooooooooooo easy
Catherine Berrut|8777-4058-4825-4736|3|1972|sxoSNq@mail.polimi.it|FOUR OF FOUR CATS : PAWS (thumbs) DOWN
Dália José Gomes De Sousa|5403-2341-9023-3783|1|1950|GwUac@duck.com|Great tea
Mohamed Tayeb Laskri|2790-7457-9209-4825|1|1972|zKPoDoS@tiscali.it|Fazer Chocolate a delightful treat
Zolzaya Dashdorj|1571-0240-8458-4512|10|1945|buyBjk@gmail.com|Uneatable
Daniela Grigori|2629-8473-8275-2876|4|1955|WjmXcf@tiscali.it|Omaha coffee in AZ
Florian Schaub|7846-7048-0406-0975|5|1975|KYipaoP@gmail.com|I really enjoy this coffee
Hongnian Yu|0000-0003-2894-2086|4|1977|OrapPDX@tiscali.it|Awesome tasting Tea!
Frédéric Geurts|5808-5946-0023-0044|11|1941|oMVgjEd@outlook.it|Premium Oolong Tea
Xiaoyang Zhou|1500-9672-6624-0429|6|1986|BWTRxv@outlook.it|Excellent Tea, Good Price
Alessio Bechini|0000-0002-5951-1265|11|1940|hatVL@tiscali.it|Great product
Jean-Christophe Filliâtre|6402-5920-3957-7321|7|1986|iDsYlrd@gmail.com|A Terrific Find !
Katja Hose|5820-0975-5336-9793|10|1970|yrQLE@outlook.it|Great Tea
Benjamin Belletoile|7033-2286-3405-4952|4|1966|CtWgp@mail.polimi.it|Very good tea!
Emmanuel Bertin|9625-4645-4979-2294|8|1940|OSmrTJ@gmail.com|Using because Dr Oz said
Teruo Higashino|6832-6717-2723-5416|3|1946|BfDVj@duck.com|"A definite ""yes!"" product"
Wei Jin|5013-4012-6605-9390|6|1959|ILWUI@duck.com|Cat treats
Miron Livny|7800-2923-3899-1738|10|1955|PRGJpj@outlook.it|Good, long-lasting flavor, a really good gum!
Maurizio Aiello|1752-9635-6565-6138|12|1962|SFGkEg@duck.com|I'm confused with this gum.
Maristella Matera|9872-1376-5029-4693|11|1943|nAyJPS@outlook.it|dog loves this
Eliseo Clementini|3494-9568-4686-8290|10|1947|ciAoi@mail.polimi.it|A very good dog food
Stephanie Chow|5434-0211-0788-0312|4|1940|rKvGobB@mail.polimi.it|Fragrant Jasmine Pearl Teas - Reminds me of Peet's Coffee
Evren Sirin|9133-7308-2450-7116|2|1968|HewJZ@tiscali.it|Pure pleasure
A. J. M. M. Weijters|2060-2908-6244-4986|3|1978|qyVZZQ@duck.com|decaf
Bruno Bouchard 0001|8170-6804-0783-4212|2|1964|mtupP@mail.polimi.it|No coffee flavor / high calorie count
Markus Pischel|1066-5650-8470-2496|7|1969|jWLnWNZ@mail.polimi.it|Yummmmm!
Vivek R. Narasayya|8552-9553-7474-6662|10|1979|ryZxC@gmail.com|Excellent
Manuela Montangero|5812-7398-1949-2081|4|1950|ohtohtj@duck.com|Coffee House Drink @ Home
Dominic DiFranzo|0000-0001-6039-1806|10|1953|ULEmw@tiscali.it|Delicious
William Rucklidge|5352-1457-6970-2540|8|1980|iiQaFhO@tiscali.it|Decaf Delight
Ulrike Gretzel|0000-0001-8416-1829|10|1980|zqBZbp@outlook.it|Delicious!
Joshua D. Potter|2355-6053-1956-7634|4|1942|DcufgD@outlook.it|Lovely lovely taste but be sure to shake before using
Maria Giulia Grillo Pasquarelli|1536-4816-7692-2763|7|1973|OYqMgv@mail.polimi.it|Great for Barbeques
Imen Bouraoui|4877-6099-9496-0135|3|1944|vbNWL@gmail.com|Savory and earthy flavor
Werner Kuhn|0362-4272-4978-1360|2|1949|ECaIHc@tiscali.it|One of the best oils on the market!
John L. Bruno|6431-4515-5221-8431|4|1957|ANAtya@tiscali.it|YAY!
Bernard Coulette|9950-5878-0690-1583|2|1961|CCzsX@tiscali.it|better than expected
An Lei|0109-1465-6870-1523|12|1945|CkZMm@outlook.it|Very Poorly Packaged
Maciej Macura|0859-5169-2039-1449|10|1964|MvGkBr@tiscali.it|WOW
Yi Jin|9210-5460-5847-5920|2|1963|YZQGwcu@mail.polimi.it|Wonderful product...
Gunter Saake|6823-4045-2428-2936|2|1987|cMvxp@duck.com|walnut oil
Laura M. van der Lubbe|0000-0003-1678-5159|6|1979|FFZRYOP@outlook.it|Great flavor
Ennio Gambi|0000-0001-6852-8483|6|1947|xXtXZg@mail.polimi.it|Delicious butter substitute
Naoko Tosa|0921-0854-8145-6433|11|1966|SegdiaK@mail.polimi.it|Ooooh-la-la
Rastko R. Selmic|6062-9486-2343-2532|10|1945|EHuSJ@duck.com|Delicious Smokey Taste!
Edwin Lughofer|8924-5670-5879-5466|8|1951|ZanEJ@mail.polimi.it|Very good oil
Bendick Mahleko|1988-6463-5734-5705|8|1961|AwEAK@outlook.it|Good choice!
Susanna Tella|0000-0002-4584-8852|1|1975|vHuUQ@mail.polimi.it|Pleasant Flavor
Maria Sokhn|0231-6469-2530-3973|10|1976|vVtzXW@mail.polimi.it|Great quality; arrived well-packaged
Verena Geist|3652-3012-4831-4128|4|1957|nndCsSh@tiscali.it|Delicious and high quality
Wojciech Piatek|6240-3155-5068-9201|2|1985|DzLUgFv@mail.polimi.it|Awesome Product
Seham Moawed|9977-0008-9492-9138|12|1979|eGbmy@tiscali.it|Good taste and good for you!
Taylor Gotfrid|1501-2447-9854-1495|10|1970|pjdjW@mail.polimi.it|Food as medicine
Paul P. B. Eggermont|4027-1684-6878-7996|7|1985|dXXeQJo@tiscali.it|Excellent oil! GREAT for waffle batter!!! Unbeatable!
Didier Perroud|6333-1580-5590-5458|2|1966|miFLs@duck.com|good price, great product
Jean-Paul Delescaille|0369-5773-0175-0095|10|1977|sNXEY@mail.polimi.it|Great product at a reasonable price
C. Balarengadurai|7727-7421-7542-5567|4|1971|IaJFgB@tiscali.it|Really Good
Daniel Cremers|9634-9088-3796-1992|8|1961|LCbnxRa@mail.polimi.it|cooking
Huidi Zhang|9458-6545-9198-1884|11|1943|iEyYJwu@mail.polimi.it|Great product at the right price
Binoy Ravindran|0000-0002-8663-739X|3|1942|QtFVnE@tiscali.it|Walnut oil
Hiren Kumar Deva Sarma|3615-7579-7934-2852|3|1950|Ddmhwl@duck.com|a bit weak in taste
Piotr Habela|5223-6541-0048-4153|11|1970|OKjFC@gmail.com|weak
Huaimin Wang|6203-2424-8487-6989|5|1979|XaQGIqs@gmail.com|Refreshing with zero artificial sweeteners
Julian Nida-Rümelin|8695-1788-6551-2956|4|1959|USfUCfd@mail.polimi.it|Not as good as Hint Water
Vincent Villain|8337-9190-1161-2181|11|1971|QAwMBpJ@tiscali.it|Great stuff
Salvador García 0001|0619-5314-9062-9195|8|1989|iCVDqU@mail.polimi.it|great!
Peter Mika|1991-6771-6153-0156|9|1979|bfhqpNp@gmail.com|good to find decafe one
Yehuda Koren|1349-8540-0277-2615|4|1944|oeBVZf@duck.com|yummy - LOVE this stuff and all the other Big Train products
Jürgen Adamy|0853-2733-6554-7353|7|1972|WosUjt@outlook.it|Too Sweet
Jürgen Gerhard|3000-2068-1411-6727|8|1983|KdNaP@duck.com|too much for too little
M. Hyben|0574-6387-0839-0978|10|1964|zUdnyFg@duck.com|Good cuppa joe
Oscar Romero 0001|0740-2944-6096-5729|5|1947|XDazN@tiscali.it|Disappointed
Jayden Khakurel|0000-0002-1397-5478|6|1982|sRgsH@outlook.it|Delicious and Healthy Snack.
Chang Liu 0001|0718-9987-7366-7226|3|1969|HeGoPz@tiscali.it|my favorite cracker
Melanie E. Moses|9155-4304-6346-5402|6|1966|ktPOYP@gmail.com|Yum! Yum! Yum!
Hagen Reuter|9990-8956-0346-7548|2|1957|pzWNV@outlook.it|Great healthy snack
Guy Shani|0000-0003-4131-0382|7|1940|zqGoz@gmail.com|Great snack!
Haluk Damgacioglu|4474-9385-5766-4009|9|1950|YDapS@tiscali.it|One of the best
Dennis McLeod|4622-9638-6084-7189|12|1950|wAFHqrw@gmail.com|Excellent!
Alan Borning|3689-9093-3896-6181|10|1976|ImOdxh@gmail.com|Subscribe and Save Dr Kracker
Md. Mahbubur Rahim|5368-7493-7950-5597|11|1980|thmJy@mail.polimi.it|love um
Gábor Mihály Surányi|9619-9117-2995-8232|8|1988|uqBza@mail.polimi.it|Addictive
Slawomir Goryczka|7574-4756-3968-0350|3|1986|ObRqoM@gmail.com|Decilious
Abdeslem Djaoui|4627-4888-8090-3067|12|1969|WbhWqa@gmail.com|Delicious crispbread
Mohamed Medhat Gaber|0000-0003-0339-4474|5|1958|wlntFSe@gmail.com|Love Dr. Kracker
Kuzman Katkalov|4330-7829-6135-1363|11|1975|RsyHH@gmail.com|yummy all by themselves
Rosa Gil|1664-4621-7003-8672|7|1983|aWsMfc@gmail.com|Simply delicious!
E. S. Gopi|1196-8197-9746-9273|4|1947|xprfKS@gmail.com|A good base for larger snacks
Friedel Hossfeld|8155-2701-8899-1902|12|1961|iiYvHp@outlook.it|Amazingly delicious
Roman Klinger|0455-2024-3728-3226|3|1953|olpzz@mail.polimi.it|Soo good in Soo many ways...
Terry D. Clark|9133-5208-4380-9981|12|1986|qpGNJe@tiscali.it|Delicious!
Eugen Volk|0941-7347-5503-3356|12|1948|eYmoJ@duck.com|Lip smackin good!
Hoang Ong|0426-2458-6132-9354|4|1975|zUPmx@mail.polimi.it|taste the quality..
Lei Zou 0001|5061-7730-0993-5304|7|1988|UDFbOc@gmail.com|So delicious! And whole spelt too!
Dong Chun Lee|8244-0074-2937-6368|1|1981|ZmeHsQ@mail.polimi.it|Krunchy Kracker Heaven  :)
Ambuj K. Singh|5027-5437-7067-0868|2|1956|EUhpQ@gmail.com|super crunch
Randall Kania|3395-4897-0773-4413|11|1989|DXTblc@tiscali.it|GOOD FOR YOU IN EVERY WAY
Andrew W. Cooke|2434-0165-4786-6769|1|1957|LrmQSm@tiscali.it|Omg good!
Fang Yu 0001|8001-4362-7300-0368|10|1954|ZxffLPF@gmail.com|Best Oatmeal Ever!
Samira Moussaoui|6280-7286-0885-8208|6|1962|jLBjSB@tiscali.it|ONLY WAY TO EAT OATMEAL!!
Lynne Parker|2075-6425-3484-4585|1|1965|PTTmJF@tiscali.it|Slow cooking
Alexandre Plastino 0001|3835-7869-3383-7593|5|1945|PggoGW@mail.polimi.it|McCanns steel cut oatmeal
Mustafa Jarrar|0000-0003-4351-4207|5|1968|JMGEQkJ@tiscali.it|Nothing like the crappy stuff I grew up on.
Pinar Yolum|6290-5344-0678-2209|8|1960|AhOTwa@outlook.it|Simple RECIPE
Alois Potton|0919-6458-7903-1817|5|1979|blfep@duck.com|You have to be Irish to appreciate this
Joachim Speidel|2263-4719-7271-1330|3|1950|shGDwBs@mail.polimi.it|Good - with amended cooking directions!
Antonio José Fernández Leiva|0000-0002-5330-5217|11|1967|qBSsY@gmail.com|Hard to find
Bruno Mermet|4766-6970-7373-0736|7|1971|tHuxk@mail.polimi.it|Excellent Oatmeal
Lidia Fuentes|1132-4516-1976-0366|6|1969|yujnG@tiscali.it|OATMEAL - ANOTHER CHOICE
Kai-Uwe Carstensen|9636-9918-6945-2019|5|1985|vtMqR@mail.polimi.it|Texture and the taste are totally different from the pressed oats!
Majid Rafiei|0126-3951-5973-2756|7|1957|zXyxfN@tiscali.it|good product, terrible packaging by Amazon.
Mengyin Fu|1360-0971-2882-7504|11|1940|LUfjl@outlook.it|eleteamazon
Ernesto Marcheggiani|1163-3240-5239-6628|11|1959|clXYnUJ@gmail.com|Perfect for my candy buffet!
Adam Silberstein|2803-4569-4562-4157|8|1988|JubYISg@duck.com|The perfect pop!
Marc Hesenius|0000-0002-6826-9212|1|1944|oUqBgO@outlook.it|Great!!
Rosie Jones|2772-0193-0242-7743|10|1973|lelgjY@outlook.it|An excellent, unique sauce
Ruth Breu|4965-4168-1241-1191|3|1947|RkLmy@outlook.it|The best table condiment you will ever taste.
R. Uday Kiran|0000-0002-5417-0289|6|1983|wClVVpz@tiscali.it|be careful, moldy product, USDA now involved
Armin Zimmermann|4414-8626-9301-8266|1|1949|auzGX@gmail.com|My Babies Liked This One Right Away
Rawya Rizk|1166-5723-0025-1593|9|1978|YFxDKdJ@duck.com|careful, moldy product, USDA now involved
Fabrício Olivetti de França|3705-1686-2440-9151|3|1983|qCaulgo@duck.com|rotten, moldy food = health risk
Helmut Degen|1837-7800-9593-6650|6|1974|nmxiYTT@outlook.it|Glad I gave this a try; good product, good nutrition, other reviews are outdated
Sudharshan S. Vazhkudai|8257-6981-6129-6155|7|1973|iFkAP@gmail.com|Don't buy EB at Amazon!
Yuxiong He|5050-2705-8634-2861|5|1970|efEQkMB@duck.com|The best for picky skinny babies
Lars Dannecker|2703-0925-5090-7329|7|1988|uvKAPuX@mail.polimi.it|Some broken jars
Richard Shapiro|7153-2614-1252-2965|7|1952|oJppy@outlook.it|mine was also improperly sealed
Wei Cai 0001|9084-7937-1248-7086|12|1975|yMieyA@tiscali.it|Delicious product, poor quality control
David Duvivier|1719-6122-3410-8928|8|1968|hvKbLU@gmail.com|GREAT for the Little Guys
Christian Schreckenberger|0497-1119-9331-5624|11|1953|lusihb@outlook.it|Had No Problem.  They Like This One a Lot
Kurt Sundermeyer|9203-8352-5358-6660|8|1949|XQSie@outlook.it|Great baby food
Dimitrios Gunopulos|7147-3301-8220-9221|5|1951|kLUbn@tiscali.it|Nasty
Xuemin (Sherman) Shen|7082-6894-4978-5883|11|1967|qZGhUON@gmail.com|baby loves the tender beef spinach!
Neus Sabater|5377-8570-7058-7552|12|1946|EjLUs@gmail.com|Grainy and a Little Oily but Thick
Umberto Pietroni|9144-2832-8849-4340|5|1952|Xqkjh@gmail.com|Even a fruit hater likes it!
Ariel Oleksiak|0000-0001-6724-4171|2|1977|ZaSfvb@gmail.com|Son seems to like it.
Jordi Martori|9277-0105-6521-5451|1|1956|oZhGlt@mail.polimi.it|Small Jars and a Little Runny - like most commercial baby foods
Estelle Perrin|0041-8926-6918-9935|8|1947|ucFHJ@outlook.it|Twice the protein of other Earth's best and baby food in general
Marcel Behún|3123-6937-7810-1623|9|1958|nIXOK@gmail.com|Not a fan unfortunately.
Chang Li 0002|3539-0397-7773-3725|2|1957|Shauy@mail.polimi.it|BITTER, and mainly carrots.
Christoph Beierle|5179-2142-8605-4120|12|1981|CwzEup@mail.polimi.it|MESSY, MESSY, MESSY
Manfred Broy|7633-9001-5562-6990|4|1965|euoPWe@outlook.it|babybmom
David A. Boyuka II|2682-8478-5615-5973|1|1969|ekatp@tiscali.it|Son loves this flavor!!
Bertin Ramamonjisoa|2959-3753-8220-6031|9|1979|IjXiv@gmail.com|Excellent nutrition and great taste
Alon Y. Halevy|5234-3688-2174-2831|2|1981|HXcwQs@gmail.com|baby really likes this one
Karim Baïna|6103-9692-8398-0768|3|1964|WutTjJ@tiscali.it|Great taste, nutritious, and organic all in one!
Jean-Philippe Martin-Flatin|2320-2142-2099-4655|8|1972|FzCNrVu@duck.com|My son loves these!
Dirk Biermann|0000-0001-8215-0093|6|1973|nEPzNj@duck.com|Does not look appetizing, and baby would not eat it.
Boris Shishkov|7067-2347-9774-8074|8|1989|GdCTgl@mail.polimi.it|It gone bad before we open
Aleksej F. Filippov|3003-3245-7733-0725|6|1984|EsrLFlB@mail.polimi.it|Some broken jars
James J. Buckley|0170-6979-7040-2427|3|1951|KdmcZ@duck.com|Some broken jars
Laurent Clévy|8560-9428-7875-3932|3|1965|KDaDn@mail.polimi.it|Great Chipotle Taste
Vasian Cepa|5036-9768-4784-6560|11|1945|FEgLyt@outlook.it|Nature's Logic
Wolfgang Reisig|5245-9943-1303-3476|5|1951|DSdLYSS@mail.polimi.it|Too Small
Faiza Belala|1896-9080-7064-7330|12|1965|xCmdvG@duck.com|Old Mother Hubbard Crunchy Classic Snacks for Dogs, Mini P-Nuttier, 20-Pound Box
Yannis Marketakis|0000-0002-0417-2526|1|1949|eOeOjRM@outlook.it|My pups gobble them down!
Aruna Ravichandran|6274-3434-6283-7823|1|1983|wdsxW@gmail.com|Order 10lbs - Great treats
Michael Netzer|1581-1174-9633-1902|11|1976|OLOaKO@mail.polimi.it|Real hard Bites
Oussama Bazzi|6757-1844-2703-4298|7|1964|mONxCCU@tiscali.it|Terrible cheap chocolates for outrageous prices.
Richard Domps|7033-4512-0655-9112|1|1948|jcuSqS@gmail.com|Love these chocolates
Alex Wun|3464-4906-4689-2191|5|1949|rcfEABP@tiscali.it|great gift
Minyar Sassi|0000-0002-0417-6586|10|1956|bgoQH@mail.polimi.it|love it
Guillaume Schaeffer|2323-0537-5562-6091|1|1989|DLxYPc@gmail.com|Great Chocolates
Martino Ruggiero|3384-2492-4519-5603|4|1955|mXOmaI@mail.polimi.it|Chemical Taste Coffee
Yahui Chang|1806-3603-1662-3546|12|1974|TcMzPhE@gmail.com|Wonderful coffee with hint of dark chocolate!
Grace Lim|8400-8005-6087-9150|7|1942|fglvEI@duck.com|Alison
Mihoko Otake|0000-0003-3644-276X|2|1942|uLiZjD@outlook.it|great value
Anna Martínez-Gavara|8230-3510-0745-4421|2|1966|RQpCq@mail.polimi.it|good deal
Damien Coyle|0000-0002-4739-1040|8|1976|lBBHhf@gmail.com|Great Party Favors!
Anqi Wang|3693-0597-7305-9525|7|1946|uTiTtT@tiscali.it|Delicious
Natalie Jane de Vries|5378-2456-4287-3406|8|1953|vRncgv@duck.com|Highly recommended
Ernst Günter Schukat-Talamazzini|1776-9884-3113-9086|2|1953|MeNbNG@tiscali.it|worst cup of coffee I've ever tasted
Jürgen Hülsemann|0224-7016-2682-2403|3|1950|DtqzS@gmail.com|"Misrepresented Kona coffee ""blend"""
Hong Cheng 0001|8186-8891-1869-4861|12|1940|MkEZUGZ@gmail.com|Good
Bartosz Krawczyk|9120-2372-9299-9896|7|1980|NjioBV@gmail.com|Best ever
Jean-Louis Imbert|8506-1758-1154-4951|8|1982|sxaQU@mail.polimi.it|Best Treats Ever!
Gilles Lasnier|2263-0643-5238-3945|12|1986|XThfEC@duck.com|My dogs love the taste!
Clement T. Yu|2150-0480-8078-4412|6|1970|AmgeDtI@gmail.com|It's all about the convenience...
Gennaro Costagliola|1105-4079-0050-2579|5|1987|IXAFyB@outlook.it|smells good....
Georges Da Costa|0000-0002-3365-7709|10|1966|hdLSn@gmail.com|Good coffee, with some exceptions.
Monique Becker|0869-9496-1918-6160|11|1972|JgQPojE@tiscali.it|A treat for all the senses.
Larbi Kzaz|4922-0934-1380-0733|9|1977|jLdeEqO@tiscali.it|Very rich and major chocolate flavor!
Hyeonbae Kang|8307-4984-9060-5430|2|1977|oWrLHd@outlook.it|Rich and chocolaty
Vittorio Fuccella|8429-9198-9449-4660|12|1964|Pqaxbw@mail.polimi.it|A real fan
Pablo Castells|0000-0003-0668-6317|2|1962|GXvEGdD@tiscali.it|grandma shopper
Loubna Bousselamti|0924-0521-4780-3472|1|1981|HaYAC@outlook.it|«:::D:::» «:::E:::» «:::L:::» «:::I:::» «:::C:::» «:::I:::» «:::O:::» «:::U:::» «:::S:::»
Belén Melián-Batista|4018-7276-9624-6352|6|1968|ahJWmGF@gmail.com|This is not that great
Nicola Ferrari|2062-2363-8565-2564|2|1989|BNRUbJ@tiscali.it|"The ""paws down"" favorite among canned food!"
Walter S. Brainerd|7817-8507-1019-3646|9|1955|PJcQc@duck.com|Worked great for my cat
Nelson Souto Rosa|0000-0001-9374-6351|1|1972|SHRRRRA@gmail.com|IBD food that my cat will actually eat!!!!!!!!
Kai Zhang 0015|9404-9354-0576-7102|10|1966|IZPubY@gmail.com|pleased with this recommendation
Massimo Paolucci 0001|0535-8257-3334-9290|8|1946|jZngKD@tiscali.it|Even Mr. Bi...Witch & Moan Loves It
Alfred Inselberg|6130-3517-9761-7724|11|1946|KzuyK@mail.polimi.it|Expensive, but worth it!
J.-B. Chang|4995-7347-0531-5596|1|1952|LtXrzm@gmail.com|Great cat food
Aline Aboujaoudé|5511-2714-7995-0951|9|1951|kZGsxL@mail.polimi.it|Finally, a food my allergic cat will eat that won't make him sick!
Frithjof Dau|1405-6209-9546-7065|1|1975|UNXyZeH@duck.com|specialty cat food
Tao Zhan|0152-9972-7854-4140|3|1941|pNaCg@outlook.it|Super clean, crisp yeast. As close to lager from an ale as it gets
Ivano Lauriola|5422-8875-4493-0338|1|1941|ZzHhR@tiscali.it|Energy booster!
Georgina Gallizo|6915-8890-6141-5073|1|1979|DSEYdZ@duck.com|Better than fish oil
Jean-Rémy Chardonnet|9308-2068-9915-9136|3|1965|hmRCsP@duck.com|Excellent product
Faten Mkacher|2503-7778-8331-4613|6|1989|EGmanV@mail.polimi.it|Great product
V. Ch. Venkaiah|7767-7227-4046-1711|7|1955|npzWOcv@duck.com|Hemp Oil
Ana Karla A. de Medeiros|8997-3365-8896-5951|5|1946|YVdpnb@outlook.it|Great alternative to flax or fish oil
Said Elnaffar|2625-5644-8489-1816|3|1955|lqknMn@outlook.it|great product!
N. Manikanthababu|8014-2911-3262-5078|1|1965|pmCUwnq@tiscali.it|Great product!
Yannis Manolopoulos|1290-0885-0807-5778|10|1943|VtoBDgI@duck.com|Excellent Natural Product for Digestive Well-being!
Didier Aubert|4925-4712-6635-5747|6|1942|SRGEm@mail.polimi.it|Hemp oil pluses
Luc Martens|7425-8945-1035-8153|12|1944|TRlbP@outlook.it|GREAT!!!
Hakan Kuntman|3000-5228-6878-6445|9|1951|GkhpgH@duck.com|Good Quality
Miyoun Jung|4329-4840-5679-0740|3|1962|QZlms@outlook.it|helps bad digestion
Dong-Han Kim|2102-1773-1448-0410|8|1948|rinjcW@mail.polimi.it|spicy plum chutney
Daniele Ronzani|9222-6662-6864-7379|8|1948|fcyOU@gmail.com|My favorite flavored green tea!
Amjad Rattrout|0000-0003-1842-4613|11|1970|tkFDKk@gmail.com|Makes Great Iced Tea
Markus Schumacher|5779-0001-6487-5850|7|1977|EOTKi@duck.com|Xylichew is great
Eduardo Lalla-Ruiz|0000-0002-7286-9501|8|1968|GRzudO@tiscali.it|Great Gum
Nam Thoai|8677-7848-1181-0110|3|1949|ykABz@gmail.com|Great gum
Avraam Chimaris|6086-2380-8262-4389|10|1987|RRVTLx@duck.com|Good sugar free gum with quality ingredients and it's NOT made in China.
Simón Castillo|9578-7752-8608-1694|3|1953|ldVzmR@gmail.com|Xylichew Peppermint Gum
Haym Hirsh|2438-4413-5385-7453|1|1960|PpVEYq@tiscali.it|Good gum
Kazunori Minatani|0391-0203-2198-0597|6|1944|eCnYe@duck.com|Best gum ever!
Guido Wirtz|5841-9416-3058-9789|11|1979|FadsVs@tiscali.it|Ridiculous price
A. Pravin Renold|7641-4214-1753-0569|9|1960|llavERE@tiscali.it|Gave me a boost when I needed it
Peter Burggräf|0695-8158-4719-6367|2|1962|swAME@mail.polimi.it|great energy boost without getting jittery
Francisco José da Silva e Silva|0000-0001-8339-3679|3|1988|KWNDplY@duck.com|Good price -- not clean...?
Hartmut Isselhorst|3640-0760-9499-7151|7|1984|xMvRkp@duck.com|great product
Günther Pernul|0805-4959-3735-8069|7|1967|vesndY@tiscali.it|energy drink
Dominik Herrmann|6643-9244-8338-7226|7|1967|KTxBQC@mail.polimi.it|Safe, and EFFECTIVE
Simon James|0000-0003-1150-0628|4|1975|zHnYRaO@outlook.it|It  Works!
Ingo Schmitt|2967-2695-8049-4484|10|1946|wGpHuN@gmail.com|Number one energy
Manfred Schmidt-Schauß|9961-1421-1430-5287|12|1965|pflMAD@mail.polimi.it|Super sayan drink????
Geetha Meera|3133-2482-7280-0533|9|1978|AuUjp@mail.polimi.it|Perfection in Cake Form
Cécile Le Pape|5867-0917-5846-1292|1|1972|YmjNYgR@mail.polimi.it|So this is how I got fat...
Dennis E. Shasha|3665-0130-2767-2838|3|1942|DNPbIJ@outlook.it|Just the right size for a yummy, crunchy snack
Eftim Zdravevski|0000-0001-7664-0168|9|1978|gGiVEoC@mail.polimi.it|Great alcohol free rum flavor in sorbet
Abdelli Abdelkrim|3951-2513-3207-0410|9|1975|bGblERe@duck.com|Candy look liked it was open & it is OLD. Do not Buy!
Justyna Petke|0000-0002-7833-6044|10|1981|aEKxeMc@tiscali.it|ordered from ZANY VALUES YUCK!!
Sergio A. Velastin|9459-0431-0576-0145|11|1951|QNoRbC@outlook.it|Raw Organics going back to Paradise
Michelle Bergadaà|5718-2998-8304-7664|12|1962|HWzZTbq@mail.polimi.it|It's the best for Coffee
Jason Nocks|2609-3775-4127-8043|2|1988|fjKuAO@gmail.com|Ghirardelli chocolate mocha hot cocoa-16 oz. can
Peishen Qi|7587-5779-2151-6592|3|1954|ZWCCZpS@gmail.com|Great hot chocolate!
Betsy George|0049-1590-1317-2420|7|1966|jeXeHid@mail.polimi.it|Eliminates my trips to Starbuck
Heri Ramampiaro|6410-1612-5913-1899|9|1984|kXoeY@mail.polimi.it|Rich, chocolatey beverage mix
Masayuki Murata|0000-0002-4168-2875|3|1946|jMVgMo@gmail.com|Good stuff
